source,target,source_lexname,target_lexname
ls:fr:node:28219,ls:fr:node:48560,maladie,affecter
ls:fr:node:29265,ls:fr:node:31300,rivière,arroser
ls:fr:node:27561,ls:fr:node:31300,fleuve,arroser
ls:fr:node:49295,ls:fr:node:45106,maladie,attaquer
ls:fr:node:29658,ls:fr:node:44104,tornade,atteindre
ls:fr:node:28219,ls:fr:node:44104,maladie,atteindre
ls:fr:node:28069,ls:fr:node:40645,lac,baigner
ls:fr:node:29658,ls:fr:node:44099,tornade,balayer
ls:fr:node:42925,ls:fr:node:44348,éclair,briller
ls:fr:node:40823,ls:fr:node:32416,marche,composer
ls:fr:node:28519,ls:fr:node:31296,nuage,courir
ls:fr:node:27215,ls:fr:node:44452,éclair,déchirer
ls:fr:node:28519,ls:fr:node:40888,nuage,dériver
ls:fr:node:27215,ls:fr:node:44559,éclair,embraser
ls:fr:node:27215,ls:fr:node:44453,éclair,fendre
ls:fr:node:28519,ls:fr:node:42850,nuage,filer
ls:fr:node:42925,ls:fr:node:44349,éclair,flamboyer
ls:fr:node:28519,ls:fr:node:31074,nuage,flotter
ls:fr:node:29658,ls:fr:node:44100,tornade,frapper
ls:fr:node:28219,ls:fr:node:44100,maladie,frapper
ls:fr:node:28519,ls:fr:node:44645,nuage,fuir
ls:fr:node:28519,ls:fr:node:41313,nuage,glisser
ls:fr:node:27215,ls:fr:node:27873,éclair,illuminer
ls:fr:node:43368,ls:fr:node:27873,soleil,illuminer
ls:fr:node:28476,ls:fr:node:48788,neige,neiger
ls:fr:node:42925,ls:fr:node:44347,éclair,passer
ls:fr:node:28519,ls:fr:node:56633,nuage,passer
ls:fr:node:29658,ls:fr:node:56633,tornade,passer
ls:fr:node:28519,ls:fr:node:44722,nuage,planer
ls:fr:node:55857,ls:fr:node:34880,cordes,pleuvoir
ls:fr:node:38292,ls:fr:node:38644,chiffre,provenir
ls:fr:node:26824,ls:fr:node:34194,colline,se dresser
ls:fr:node:27215,ls:fr:node:44437,éclair,sillonner
ls:fr:node:29798,ls:fr:node:44367,vent,souffler
ls:fr:node:29658,ls:fr:node:42791,tornade,s’abattre
ls:fr:node:42694,ls:fr:node:44384,vent,s’échapper
ls:fr:node:26824,ls:fr:node:34385,colline,s’élever
ls:fr:node:27084,ls:fr:node:40484,désert,s’étendre
ls:fr:node:28476,ls:fr:node:42717,neige,tomber
ls:fr:node:55857,ls:fr:node:42717,cordes,tomber
ls:fr:node:29658,ls:fr:node:47181,tornade,toucher
ls:fr:node:28219,ls:fr:node:48561,maladie,toucher
ls:fr:node:33318,ls:fr:node:29702,transports,transporter
ls:fr:node:29265,ls:fr:node:47880,rivière,traverser
ls:fr:node:28519,ls:fr:node:43547,nuage,traverser
ls:fr:node:27561,ls:fr:node:47880,fleuve,traverser
ls:fr:node:42925,ls:fr:node:44253,éclair,traverser
ls:fr:node:27215,ls:fr:node:44558,éclair,zébrer
